credit_limit,education,age,late_jul,bill_sep,prev_payment_sep,prev_payment_aug,prev_payment_jul,prev_payment_jun,prev_payment_may,prev_payment_apr,total_default,sex_female,marital_status_single,marital_status_other
80000.0,2.0,24,0,75125.0,3503.0,5001.0,2092.0,1218.0,1445.0,878.0,0,1,1,0
30000.0,2.0,28,0,29242.0,5006.0,1244.0,851.0,955.0,0.0,0.0,0,0,1,0
180000.0,0.0,44,-1,20916.0,0.0,850.0,0.0,6881.0,10340.0,182.0,0,1,0,0
60000.0,3.0,25,0,58839.0,2018.0,1900.0,2000.0,1500.0,1900.0,2000.0,0,0,1,0
130000.0,2.0,25,0,111587.0,4100.0,4200.0,5000.0,5000.0,5000.0,10700.0,0,1,1,0
20000.0,1.0,32,0,19844.0,0.0,1302.0,685.0,748.0,697.0,690.0,3,0,1,0
100000.0,2.0,33,-1,7067.0,0.0,7482.0,15315.0,9705.0,0.0,4600.0,0,1,0,0
210000.0,2.0,31,0,205243.0,7736.0,7100.0,8300.0,4800.0,4396.0,4200.0,0,1,0,0
50000.0,2.0,35,0,13517.0,1550.0,1700.0,1300.0,900.0,800.0,800.0,0,1,1,0
360000.0,1.0,43,-2,4435.0,805.0,1071.0,15604.0,3195.0,4269.0,3525.0,0,1,0,0
220000.0,2.0,38,-1,22145.0,5575.0,4716.0,1632.0,8559.0,4164.0,10626.0,0,1,1,0
70000.0,2.0,37,2,67374.0,6044.0,0.0,2975.0,2505.0,2590.0,2610.0,2,1,0,0
100000.0,3.0,27,0,17553.0,0.0,1000.0,2000.0,3323.0,0.0,0.0,2,0,1,0
80000.0,1.0,30,0,4794.0,1074.0,1000.0,1000.0,0.0,0.0,0.0,2,1,1,0
120000.0,1.0,61,0,121709.0,99.0,8800.0,2700.0,3000.0,2600.0,2200.0,3,1,0,0
260000.0,3.0,45,0,21480.0,5000.0,6781.0,5000.0,6452.0,6696.0,6892.0,0,0,0,0
150000.0,2.0,24,0,143212.0,5500.0,5500.0,4500.0,3500.0,4000.0,4000.0,0,1,1,0
270000.0,2.0,39,0,116168.0,4173.0,4275.0,4054.0,4191.0,4302.0,4567.0,0,1,1,0
170000.0,1.0,31,0,3062.0,112000.0,6000.0,4500.0,4500.0,5000.0,4500.0,0,0,0,0
140000.0,2.0,24,-1,16343.0,1462.0,4326.0,6398.0,48866.0,3500.0,2000.0,0,0,1,0
110000.0,1.0,29,0,101006.0,5300.0,5300.0,4000.0,4100.0,4631.0,4404.0,0,1,1,0
430000.0,2.0,48,0,32263.0,1794.0,2399.0,884.0,914.0,987.0,869.0,0,0,0,0
360000.0,3.0,39,-2,12768.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
150000.0,3.0,45,0,108434.0,3000.0,1300.0,1300.0,1200.0,1200.0,0.0,0,0,0,1
240000.0,3.0,46,-2,456.0,0.0,0.0,2240.0,0.0,2267.0,3074.0,4,1,1,0
200000.0,3.0,33,-1,846.0,4974.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
50000.0,3.0,27,0,44421.0,2500.0,2100.0,2000.0,3900.0,0.0,2000.0,2,1,1,0
390000.0,3.0,38,0,164418.0,9000.0,7027.0,5000.0,5000.0,6000.0,5000.0,0,1,0,0
240000.0,2.0,37,-1,1769.0,0.0,14015.0,0.0,1317.0,0.0,0.0,2,1,0,0
220000.0,1.0,33,-1,-117.0,1000.0,3000.0,2000.0,2000.0,0.0,2000.0,1,0,1,0
230000.0,3.0,59,0,208459.0,7536.0,7277.0,7100.0,7120.0,6844.0,6945.0,0,0,0,0
320000.0,3.0,29,-2,9161.0,28524.0,13270.0,17562.0,66751.0,14405.0,52677.0,0,0,1,0
100000.0,3.0,47,0,43175.0,1680.0,1722.0,1603.0,1406.0,1598.0,1502.0,0,1,0,1
480000.0,2.0,46,-1,993.0,1317.0,0.0,0.0,4415.0,0.0,0.0,0,1,0,0
20000.0,2.0,24,-1,10476.0,1000.0,688.0,0.0,0.0,650.0,0.0,2,0,1,0
420000.0,2.0,32,0,546485.0,18546.0,8931.0,4940.0,1796.0,3100.0,133131.0,0,1,0,0
160000.0,2.0,55,0,155389.0,6911.0,6500.0,4270.0,2518.0,2994.0,0.0,0,0,0,0
380000.0,3.0,40,0,231759.0,10000.0,9000.0,10021.0,10000.0,10000.0,10000.0,0,0,0,0
50000.0,2.0,29,2,24043.0,3165.0,0.0,2257.0,0.0,1000.0,2000.0,6,0,1,0
230000.0,3.0,26,-2,416.0,371.0,461.0,416.0,566.0,416.0,0.0,0,0,1,0
50000.0,2.0,35,0,47816.0,3000.0,3000.0,3019.0,3000.0,1000.0,2000.0,0,0,1,0
80000.0,1.0,38,0,19277.0,1400.0,1306.0,1019.0,685.0,2500.0,0.0,0,0,0,0
80000.0,3.0,26,0,67229.0,2089.0,6000.0,200.0,0.0,0.0,0.0,0,0,1,0
30000.0,3.0,38,2,27429.0,2403.0,1200.0,588.0,588.0,574.0,0.0,2,0,0,0
280000.0,3.0,30,-1,17913.0,380.0,5118.0,380.0,380.0,380.0,380.0,0,0,1,0
100000.0,2.0,47,0,99823.0,0.0,3579.0,3472.0,3287.0,3590.0,10179.0,3,0,0,0
130000.0,2.0,46,0,125557.0,2498.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
120000.0,2.0,50,0,118492.0,6141.0,4474.0,2647.0,1367.0,1322.0,1500.0,0,1,0,0
30000.0,2.0,23,2,19321.0,5320.0,0.0,3316.0,0.0,700.0,0.0,6,0,1,0
